industry_name,industry_type,location,latitude,longitude,installed_capacity,capacity_unit,size_factor,pm10_profile,pm25_profile,so2_profile,nox_profile,raw_pm10,raw_pm25,raw_so2,raw_nox,pm10_weight,pm25_weight,so2_weight,nox_weight,confidence,source,source_type,coordinate_status,active_for_simulation,notes
EPIP Ferro-Alloy Cluster,cluster: ferro-alloy industries with unavailable exact coordinates,EPIP Byrnihat cluster centroid,26.0525,91.8705,,cluster source,0.75,5,5,3,5,3.75,3.75,2.25,3.75,7.5,7.5,6.429,7.5,medium,NEERI/MSPCB report; Meghalaya EPIP list; approximate cluster centroid,industrial_cluster,approximate_cluster_centroid,yes,Represents EPIP ferro-alloy sources whose exact coordinates were unavailable.
EPIP Steel/Re-rolling Cluster,"cluster: steel, ingot, rolling and re-rolling units",EPIP Byrnihat cluster centroid,26.0245,91.8445,,cluster source,0.65,4,4,2,4,2.6,2.6,1.3,2.6,5.2,5.2,3.714,5.2,medium,NEERI/MSPCB report; Meghalaya EPIP list; approximate cluster centroid,industrial_cluster,approximate_cluster_centroid,yes,Represents steel/rolling/re-rolling sources with unavailable exact coordinates.
Tamulkuchi-13th Mile Stone/Brick Cluster,"cluster: quarry, crusher and brick-kiln sources","Tamulkuchi / 13th Mile, Byrnihat",26.0694,91.8679,,cluster source,0.55,5,3,2,2,2.75,1.65,1.1,1.1,5.5,3.3,3.143,2.2,low-medium,NEERI/MSPCB report Table 3.2; approximate cluster centroid,industrial_cluster,approximate_cluster_centroid,yes,Replaces quarry/crusher/brick sources whose individual coordinates were unavailable or closed.
Harlibagan Casting/Ingots Cluster,"cluster: casting, M.S. ingots and rolled products","Harlibagan, Byrnihat",26.0371,91.8622,,cluster source,0.5,4,4,2,4,2.0,2.0,1.0,2.0,4.0,4.0,2.857,4.0,medium,NEERI/MSPCB report Table 3.2; approximate cluster centroid,industrial_cluster,approximate_cluster_centroid,yes,Represents casting/ingot sources in Harlibagan where exact coordinates were unavailable.
Byrnihat Assam-side Coke/Cement Cluster,cluster: Assam-side coke/cement industrial belt,Assam-side industrial belt near Byrnihat,26.07,91.875,,cluster source,0.7,5,5,5,4,3.5,3.5,3.5,2.8,7.0,7.0,10.0,5.6,low-medium,NEERI/MSPCB report discussion of operating units on Assam side; approximate cluster centroid,industrial_cluster,approximate_cluster_centroid,yes,Area source to represent Assam-side sources near Byrnihat; exact factory-wise coordinates still need verification.
Raksha Cement Plants Cluster,cement cluster,"Kamarkuchi/Tapesia/Sonapur, Assam-side Byrnihat industrial belt",26.113355,91.891226,,not available,0.8,5,3,2,3,4.0,2.4,1.6,2.4,8.0,4.8,4.571,4.8,medium-high,Google Maps coordinate provided by user + published cluster map + Raksha Cement address,industrial_cluster,approximate_from_google_maps_user_provided,yes,"Coordinate provided by user from Google Maps; treated as approximate cluster coordinate, not official factory-gate/emission point."
Delta Cement Plant Cluster,cement cluster,"Assam-side Byrnihat industrial cluster, near Raksha/Purbanchal cement belt",26.115,91.888,,not available,0.65,5,3,2,3,3.25,1.95,1.3,1.95,6.5,3.9,3.714,3.9,low,ResearchGate/published cluster map showing Delta Cement Plant,industrial_cluster,approximate_from_published_map,yes,Approximate cluster point only; needs later verification from Google Maps or official source.
Purbanchal Cement Cluster,cement plant / cement cluster,"Sarutari, Sonapur/Byrnihat, Assam",26.06127,91.883283,,not available,0.9,5,3,2,3,4.5,2.7,1.8,2.7,9.0,5.4,5.143,5.4,high-for-cluster,GEM/Purbachal Cement Sarutari plant coordinate + factory-list/official address sources,industrial_cluster,published_coordinate_used_as_cluster_point,yes,"Used as a cluster/source point for the Sarutari cement belt; still treat as model input, not regulatory emission data."
Superlite AAC Blocks Cluster,AAC blocks / construction material cluster,"Sarutari / Byrnihat-Sonapur Road, Assam",26.084,91.879,,not available,0.45,4,2,1,2,1.8,0.9,0.45,0.9,3.6,1.8,1.286,1.8,medium-low,ResearchGate/published cluster map + Superlite AAC address at Sarutari/Byrnihat-Sonapur Road,industrial_cluster,approximate_from_user_ai_overview,yes,Updated with user-provided approximate coordinate for Sarutari/Sonapur-Byrnihat AAC block cluster.
Greystone Ispat Ltd.,steel / torsteel,"Byrnihat Industrial Park, Umtru Road, EPIP Byrnihat",26.059,91.898,49500.0,MT/year,0.761538,4,4,2,4,3.046154,3.046154,1.523077,3.046154,6.092,6.092,4.352,6.092,medium,"EPIP list for capacity/activity; coordinate from user-provided Gemini/AI overview, not independently verified",individual_industry,approximate_from_secondary_ai_overview,yes,Torsteel unit; coordinate plausible but should be verified with Google Maps/official map.
Gita Ferro Alloys (P) Ltd.,ferro alloy,"EPIP/FPIP Industrial Estate, Raja Bagan, Byrnihat",26.045,91.855,10800.0,MT/year,0.166154,5,5,3,5,0.830769,0.830769,0.498462,0.830769,1.662,1.662,1.424,1.662,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Meghalaya Carbide & Chemicals (P) Ltd.,calcium carbide / ferro alloys,"EPIP industrial zone, Byrnihat",26.0525,91.8694,7000.0,MT/year,0.107692,4,4,4,4,0.430769,0.430769,0.430769,0.430769,0.862,0.862,1.231,0.862,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Adhunik Meghalaya Steels (P) Ltd.,ferro alloy,"Plot No. 19/23E, EPIP Byrnihat",26.0667,91.8711,16775.0,MT/year,0.258077,5,5,3,5,1.290385,1.290385,0.774231,1.290385,2.581,2.581,2.212,2.581,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
M/s Trishul Industries,TMT bars / M.S. ingots,"EPIP, Byrnihat",26.04721,91.85241,30000.0,MT/year,0.461538,4,4,2,4,1.846154,1.846154,0.923077,1.846154,3.692,3.692,2.637,3.692,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview/Apple Maps reference,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Anirudha Steel (P) Ltd.,M.S. ingots / casting,"EPIP, Byrnihat",26.0384,91.8741,42000.0,MT/year,0.646154,4,4,2,4,2.584615,2.584615,1.292308,2.584615,5.169,5.169,3.692,5.169,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Meghalaya Sova Ispat Alloys Ltd.,ferro alloy,"Gate No. 6 / Norbong area, EPIP Byrnihat",26.04,91.86,7458.0,MT/year,0.114738,5,5,3,5,0.573692,0.573692,0.344215,0.573692,1.147,1.147,0.983,1.147,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP/Norbong coordinate; verify if possible.
Trikuta Ferro Alloys (P) Ltd.,ferro alloy / M.S. ingots / re-rolling,"EPIP, Byrnihat",26.0461,91.8665,17500.0,MT/year,0.269231,5,5,3,5,1.346154,1.346154,0.807692,1.346154,2.692,2.692,2.308,2.692,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Meghalaya Alloys Ltd.,integrated steel / ferro alloys,"Plot No. 25, EPIP, Byrnihat",26.045,91.8517,3000.0,MT/year,0.046154,5,5,4,5,0.230769,0.230769,0.184615,0.230769,0.462,0.462,0.527,0.462,medium-low,EPIP list for capacity/activity; coordinate from user-provided AI overview,individual_industry,approximate_from_secondary_ai_overview,yes,Approximate EPIP coordinate; verify if possible.
Mahashakti Cement Cluster,cement cluster,"15th Mile, G.S. Road, Byrnihat Assam-Meghalaya border",26.0498,91.8718,,not available,0.7,5,3,2,3,3.5,2.1,1.4,2.1,7.0,4.2,4.0,4.2,medium-low,User-provided AI overview/screenshot; approximate coordinate,industrial_cluster,approximate_from_secondary_ai_overview,yes,Use as Assam-side cement cluster; not exact stack coordinate.
Shivshakti Cements Cluster,cement cluster,Byrnihat / Sonapur area,26.04972,91.87167,,not available,0.7,5,3,2,3,3.5,2.1,1.4,2.1,7.0,4.2,4.0,4.2,medium-low,User-provided AI overview/screenshot; approximate coordinate converted from DMS,industrial_cluster,approximate_from_secondary_ai_overview,yes,Use as cement cluster point; coordinate overlaps close to Mahashakti area.
Vinayak Cements Cluster,cement cluster,Byrnihat Industrial Area / Sarutari,26.0827,91.8845,,not available,0.65,5,3,2,3,3.25,1.95,1.3,1.95,6.5,3.9,3.714,3.9,medium-low,User-provided AI overview/screenshot; approximate coordinate,industrial_cluster,approximate_from_secondary_ai_overview,yes,Approximate industrial area coordinate; verify if possible.
Sudha Lime Cluster,lime / mineral processing,"Kamarkuchi, near Tepesia, Sonapur/Byrnihat area",26.113,91.905,,not available,0.55,4,3,2,2,2.2,1.65,1.1,1.1,4.4,3.3,3.143,2.2,medium-low,User-provided AI overview/screenshot; approximate coordinate,industrial_cluster,approximate_from_secondary_ai_overview,yes,Approximate mineral/lime processing cluster point; verify if possible.
Assam Sillimanite Industrial Cluster,sillimanite / mineral material,Byrnihat industrial and mining belt,26.0525,91.87,,not available,0.5,4,2,1,1,2.0,1.0,0.5,0.5,4.0,2.0,1.429,1.0,low-medium,User-provided AI overview/screenshot; coordinate appears general to Byrnihat belt,industrial_cluster,approximate_from_secondary_ai_overview,yes,"Use as industrial/mineral material cluster, not exact factory coordinate."
